nome,classificacao_espessura,classificacao_continuidade,classificacao_densidade,espessura_media,espessura_max,espessura_std,densidade_tracos,variacao_densidade,num_segmentos,conectividade,comprimento_total,suavidade,pressao_forte_pct,pressao_media_pct,pressao_fraca_pct,intensidade_media,contraste_pressao,entropia_normalizada,thresholds_pressao
CA20220920-10a.TIF,Traços Grossos,Fragmentado,Moderado,5.68,37.99,5.71,9.82,3.37,492,1.75,42682.1,0.297,25.13,52.22,22.64,96.1,79.49,0.843,"Fraca:<32, Média:32-138, Forte:>138"
CA20220920-11a.TIF,Traços Médios,Fragmentado,Denso,4.63,56.34,5.93,23.47,7.43,1771,1.49,120268.7,0.257,25.01,50.24,24.75,85.88,68.38,0.866,"Fraca:<34, Média:34-115, Forte:>115"
CA20220920-12a.TIF,Traços Médios,Fragmentado,Esparso,3.8,40.0,4.07,7.44,6.14,537,1.37,41462.3,0.301,25.27,49.85,24.88,68.57,58.18,0.799,"Fraca:<29, Média:29-89, Forte:>89"
CA20220920-1a.TIF,Traços Médios,Fragmentado,Denso,4.26,42.0,4.72,23.27,7.24,1030,1.37,128919.7,0.291,25.08,52.85,22.07,68.75,67.85,0.747,"Fraca:<26, Média:26-77, Forte:>77"
CA20220920-2a.TIF,Traços Médios,Fragmentado,Moderado,4.31,34.0,4.55,9.54,4.74,386,1.61,45004.5,0.277,25.28,50.1,24.61,86.32,66.22,0.879,"Fraca:<36, Média:36-115, Forte:>115"
CA20220920-3a.TIF,Traços Grossos,Pouco Conectado,Muito Denso,6.44,36.79,4.98,30.96,17.43,437,2.15,109878.0,0.26,25.29,50.16,24.55,102.28,63.87,0.942,"Fraca:<46, Média:46-144, Forte:>144"
CA20220920-4a.TIF,Traços Médios,Fragmentado,Muito Denso,4.09,37.58,3.37,29.73,9.51,1093,1.48,153010.0,0.265,25.33,51.47,23.2,68.07,56.13,0.805,"Fraca:<28, Média:28-89, Forte:>89"
CA20220920-5a.TIF,Traços Médios,Fragmentado,Moderado,3.16,23.58,2.14,10.09,3.26,530,1.4,55071.4,0.262,25.09,51.46,23.46,73.97,59.5,0.834,"Fraca:<31, Média:31-95, Forte:>95"
CA20220920-6a.TIF,Traços Finos,Fragmentado,Denso,2.85,21.58,2.14,16.0,5.96,1409,1.27,95611.4,0.297,25.37,51.54,23.1,64.42,54.01,0.773,"Fraca:<29, Média:29-75, Forte:>75"
CA20220920-8a.TIF,Traços Médios,Fragmentado,Muito Denso,3.16,27.18,2.17,37.41,12.57,1528,1.28,222482.4,0.379,25.62,50.34,24.04,51.07,31.92,0.692,"Fraca:<30, Média:30-62, Forte:>62"
CA20220920-9a.TIF,Traços Grossos,Fragmentado,Esparso,6.33,40.0,7.08,4.5,2.26,226,1.73,19866.7,0.24,25.86,50.22,23.92,129.3,96.42,0.788,"Fraca:<35, Média:35-243, Forte:>243"
CA20220920-Xa.TIF,Traços Grossos,Fragmentado,Denso,6.86,46.36,7.1,15.2,6.99,497,1.66,69654.1,0.271,25.18,49.95,24.87,104.85,75.49,0.926,"Fraca:<37, Média:37-163, Forte:>163"
CA20220920-Ya.TIF,Traços Médios,Fragmentado,Moderado,4.11,42.78,4.63,11.12,3.37,1189,1.24,68317.1,0.249,25.01,50.77,24.23,97.33,87.2,0.795,"Fraca:<30, Média:30-175, Forte:>175"
