nome,largura,altura,canais,cores_unicas,percentual_branco,tamanho_mb,caminho
CA20220920-10a.TIF,1058,720,3,68087,84.3,0.6,C:\Users\jorge\Desktop\Projetos\Lia²\lia-cores-alegria\cluster_image\CA_processada\CA20220920-10a.TIF
CA20220920-11a.TIF,1058,720,3,171039,65.6,1.51,C:\Users\jorge\Desktop\Projetos\Lia²\lia-cores-alegria\cluster_image\CA_processada\CA20220920-11a.TIF
CA20220920-12a.TIF,1058,720,3,73346,86.8,0.94,C:\Users\jorge\Desktop\Projetos\Lia²\lia-cores-alegria\cluster_image\CA_processada\CA20220920-12a.TIF
CA20220920-1a.TIF,1058,720,3,132994,55.2,1.47,C:\Users\jorge\Desktop\Projetos\Lia²\lia-cores-alegria\cluster_image\CA_processada\CA20220920-1a.TIF
CA20220920-2a.TIF,1058,720,3,69174,87.3,0.6,C:\Users\jorge\Desktop\Projetos\Lia²\lia-cores-alegria\cluster_image\CA_processada\CA20220920-2a.TIF
CA20220920-3a.TIF,1058,720,3,213897,64.0,1.36,C:\Users\jorge\Desktop\Projetos\Lia²\lia-cores-alegria\cluster_image\CA_processada\CA20220920-3a.TIF
CA20220920-4a.TIF,1058,720,3,142890,47.0,1.47,C:\Users\jorge\Desktop\Projetos\Lia²\lia-cores-alegria\cluster_image\CA_processada\CA20220920-4a.TIF
CA20220920-5a.TIF,1058,720,3,92334,85.0,0.96,C:\Users\jorge\Desktop\Projetos\Lia²\lia-cores-alegria\cluster_image\CA_processada\CA20220920-5a.TIF
CA20220920-6a.TIF,1058,720,3,134851,72.9,1.42,C:\Users\jorge\Desktop\Projetos\Lia²\lia-cores-alegria\cluster_image\CA_processada\CA20220920-6a.TIF
CA20220920-8a.TIF,1058,720,3,227669,42.3,2.03,C:\Users\jorge\Desktop\Projetos\Lia²\lia-cores-alegria\cluster_image\CA_processada\CA20220920-8a.TIF
CA20220920-9a.TIF,1058,720,3,37137,93.3,0.33,C:\Users\jorge\Desktop\Projetos\Lia²\lia-cores-alegria\cluster_image\CA_processada\CA20220920-9a.TIF
CA20220920-Xa.TIF,1058,720,3,126234,76.7,1.04,C:\Users\jorge\Desktop\Projetos\Lia²\lia-cores-alegria\cluster_image\CA_processada\CA20220920-Xa.TIF
CA20220920-Ya.TIF,1058,720,3,78928,80.5,0.96,C:\Users\jorge\Desktop\Projetos\Lia²\lia-cores-alegria\cluster_image\CA_processada\CA20220920-Ya.TIF
