nome,classificacao,colorido_vivido,colorido_suave,total_colorido,monocromatico,cinza,branco,preto,saturacao_media,valor_medio,diversidade_cores
CA20220920-10a.TIF,Muito Colorido,15.36,27.18,42.54,52.94,0.07,87.82,1.91,12.72,248.35,78.3
CA20220920-11a.TIF,Muito Colorido,19.54,23.75,43.29,57.4,0.58,76.76,2.41,25.82,240.14,82.9
CA20220920-12a.TIF,Colorido,5.22,30.86,36.08,77.87,0.06,91.22,0.32,8.87,250.5,52.7
CA20220920-1a.TIF,Colorido,4.57,25.71,30.28,79.43,0.34,69.04,2.09,27.1,242.62,84.0
CA20220920-2a.TIF,Colorido,9.25,23.66,32.91,64.78,0.47,91.41,0.87,7.86,248.85,100.0
CA20220920-3a.TIF,Muito Colorido,21.85,24.03,45.88,47.64,1.37,70.42,2.02,32.41,233.49,95.1
CA20220920-4a.TIF,Muito Colorido,12.84,31.64,44.480000000000004,61.48,0.98,57.82,0.9,40.66,242.64,100.0
CA20220920-5a.TIF,Colorido,5.14,27.12,32.26,76.22,0.26,90.01,0.54,9.49,248.97,77.4
CA20220920-6a.TIF,Colorido,5.34,25.66,31.0,88.38,0.04,83.71,0.87,15.23,248.07,84.9
CA20220920-8a.TIF,Muito Colorido,8.9,33.06,41.96,74.65,0.04,57.87,0.32,39.6,245.13,39.6
CA20220920-9a.TIF,Colorido,11.27,20.48,31.75,49.68,0.03,94.82,1.51,6.35,250.17,84.0
CA20220920-Xa.TIF,Colorido,8.46,26.38,34.84,63.24,0.32,83.17,2.01,16.39,241.71,86.5
CA20220920-Ya.TIF,Colorido,10.42,21.15,31.57,69.05,0.07,86.85,2.46,14.14,246.93,96.9
