nome,total_verificacao,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10
CA20220920-10a.TIF,100.10000000000001,Branco: 87.7%,Azul: 5.2%,Amarelo: 3.2%,Preto: 2.0%,Laranja: 1.9%,Cinza: 0.1%,,,,
CA20220920-11a.TIF,100.59999999999998,Branco: 76.4%,Amarelo: 8.6%,Azul: 5.9%,Preto: 2.6%,Laranja: 2.6%,Cinza: 1.1%,Violeta: 1.1%,Vermelho: 0.9%,Verde: 0.8%,Rosa: 0.6%
CA20220920-12a.TIF,100.09999999999998,Branco: 91.1%,Verde: 4.6%,Amarelo: 2.1%,Laranja: 1.8%,Preto: 0.4%,Cinza: 0.1%,,,,
CA20220920-1a.TIF,103.4,Branco: 68.5%,Laranja: 13.7%,Amarelo: 12.0%,Azul: 4.2%,Preto: 2.2%,Verde: 2.2%,Cinza: 0.6%,,,
CA20220920-2a.TIF,98.89999999999999,Branco: 91.3%,Azul: 4.5%,Preto: 0.9%,Cinza: 0.8%,Laranja: 0.8%,Vermelho: 0.6%,,,,
CA20220920-3a.TIF,101.6,Branco: 70.2%,Azul: 8.8%,Laranja: 5.9%,Rosa: 4.8%,Amarelo: 2.6%,Preto: 2.4%,Cinza: 2.3%,Vermelho: 2.0%,Violeta: 2.0%,Verde: 0.6%
CA20220920-4a.TIF,105.09999999999998,Branco: 57.3%,Amarelo: 27.1%,Laranja: 11.8%,Azul: 3.0%,Cinza: 1.8%,Preto: 1.1%,Vermelho: 1.1%,Violeta: 1.1%,Rosa: 0.8%,
CA20220920-5a.TIF,99.80000000000001,Branco: 89.8%,Verde: 3.9%,Laranja: 2.0%,Amarelo: 1.4%,Rosa: 0.9%,Vermelho: 0.7%,Preto: 0.6%,Cinza: 0.5%,,
CA20220920-6a.TIF,100.69999999999999,Branco: 83.3%,Verde: 6.1%,Rosa: 4.2%,Amarelo: 2.1%,Vermelho: 1.8%,Laranja: 1.0%,Preto: 0.9%,Violeta: 0.7%,Azul: 0.5%,Cinza: 0.1%
CA20220920-8a.TIF,100.30000000000001,Branco: 57.2%,Verde: 32.7%,Azul: 6.5%,Amarelo: 2.3%,Vermelho: 0.6%,Laranja: 0.6%,Preto: 0.3%,Cinza: 0.1%,,
CA20220920-9a.TIF,99.39999999999999,Branco: 94.8%,Preto: 1.5%,Verde: 1.3%,Amarelo: 0.9%,Laranja: 0.8%,Cinza: 0.1%,,,,
CA20220920-Xa.TIF,100.10000000000001,Branco: 82.9%,Amarelo: 3.9%,Laranja: 3.6%,Verde: 3.2%,Preto: 2.2%,Vermelho: 1.8%,Azul: 1.4%,Cinza: 0.6%,Rosa: 0.5%,
CA20220920-Ya.TIF,99.89999999999998,Branco: 86.6%,Azul: 4.6%,Amarelo: 3.0%,Preto: 2.5%,Vermelho: 0.8%,Laranja: 0.8%,Rosa: 0.8%,Violeta: 0.7%,Cinza: 0.1%,
